"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"225785_at",3938.19,3849.33,3885.57,3744.55,3864.83,4121.99,2063.97,2527.88,2417.17,2239.91,2501.66,2207.96,3869.23,4470.33,4008.58,3545.03,3784,3763.93,2358.37,2430.02,1946.51,2244.11,2270.57,2213.32
"225786_at",168.05,198.705,163.136,147.145,193.557,188.874,159.318,256.024,243.622,172.661,130.528,249.179,135.29,239.346,164.117,183.646,172.646,241.43,212.814,183.86,203.726,180.306,206.294,151.762
"225787_at",2084.85,2253.6,2331.5,2477.02,2639.39,2810.48,2017.88,2198.21,1755.03,2077.95,1912.24,1777.03,2415.94,2174.7,2448.85,2835.64,2399.42,2438.86,2008.94,2263.96,2179.91,2144.44,2318.68,2176.74
"225788_at",1970.29,1876.91,2090,1953.07,1951.85,2141.5,2406.18,2172.68,2229.51,2283.08,2276.88,2250.18,1914.17,1962.36,2033.87,2062.2,1835.73,2069.83,2411.76,2202.23,2595.67,2441,2579.24,2410.18
"225789_at",1032.37,936.668,1064.05,1089.07,1251.23,1021.5,1324.21,1146.85,1116.87,1376.78,1097.85,1283.69,1198.12,1203.84,1069.01,1100.87,1281.1,1380.68,1265,1138.41,1363.77,1250.38,1415.9,1114.53
"225790_at",1234.56,1223.27,1324.8,1237.19,1284.57,1253.05,593.601,649.119,737.671,615.131,683.686,742.877,1282.47,1183.96,1304.06,1197.08,1178.12,1155.06,548.273,642.573,627.336,670.095,589.038,645.431
"225791_at",277.718,293.918,261.01,303.471,276.979,310.125,253.396,267.977,237.829,177.84,252.493,163.931,249.02,222.372,309.876,287.07,333.298,258.897,253.731,305.733,265.974,249.63,244.923,284.753
"225792_at",1.92284,14.334,5.69905,2.21202,5.52453,4.82933,3.41679,2.58467,3.26387,17.9384,3.89436,3.39148,5.65374,19.2026,1.77314,50.551,4.18667,1.69,3.28767,1.01806,3.4972,16.4491,4.15527,4.29212
"225793_at",6223.19,6328.17,6733.24,6422.34,6445.92,6471.4,5217.32,5269.05,5127.39,5660.1,5284.36,4918.96,6248.22,6025.65,6198.83,6273.36,5933.74,5978.87,5603.61,5240.8,5090.27,5607.01,5049.61,5796.59
"225794_s_at",5672.18,5643.98,5976.61,5897.49,4728.23,5895.71,4355.33,4120.27,4233.13,4698.09,4641.53,4866.64,5477.2,5803.9,5556.62,5513.82,5003.3,5509.4,4693.64,4685.77,4896.59,4628.17,4620.3,4476.03
"225795_at",5333.23,5238.23,5442.85,5503.86,5284.06,5681.15,4177.55,3928.46,4076.49,4278.92,4237.42,4222.87,4854.38,4619.89,5039.65,4926.22,4647.86,4583.56,4556.73,4234.08,4624.67,4127.23,4110.41,4565.83
"225796_at",987.38,939.208,891.324,874.255,826.442,897.931,844.831,778.554,1007.76,937.383,957.427,948.704,872.88,956.334,992.309,809.198,846.262,783.044,907.491,868.186,854.861,939.546,929.883,900.075
"225797_at",1975.92,1778.08,1802.3,1798.26,1531.97,2100,1630.5,1608.3,1474.36,1278.81,1410.21,1388.65,1763.89,1374.74,2166.75,1939.1,1296.34,1671.11,1733.37,1570.78,1993.5,1528.52,1722.02,1680.27
"225798_at",354.34,484.545,366.409,378.471,455.378,403.4,732.829,734.84,818.394,673.583,841.497,659.337,427.027,488.841,435.508,483.262,361.968,394.563,668.553,714.737,547.82,736.797,588.299,650.498
"225799_at",13985.8,14037.1,14189.4,14514.2,14007.5,13447.8,5390.67,5423.73,4599.81,4897.15,5082.85,5031.56,14579,13657.8,15223.5,15707.2,14238.7,15465.5,5167.96,5040.77,5755.37,5356.11,5112.18,5110.59
"225800_at",357.565,339.341,278.439,245.098,364.553,312.849,772.122,752.914,855.098,810.874,796.424,715.008,343.173,412.937,378.595,410.748,368.06,359.796,684.401,778.791,705.559,782.716,785.607,867.07
"225801_at",8.22138,5.30405,4.46995,8.94349,44.7367,4.41572,54.2283,21.557,84.9251,55.8276,37.5294,71.4523,46.3087,9.29697,18.0306,3.94522,5.08295,20.1568,44.9874,52.0991,89.2336,51.5526,38.5571,51.6696
"225802_at",249.821,288.126,357.109,335.92,414.648,375.703,594.794,530.635,598.576,598.306,777.421,799.746,390.382,314.002,395.63,354.56,370.092,344.949,686.867,626.375,642.746,870.496,717.1,676.767
"225803_at",209.681,123.057,156.866,119.544,121.22,162.537,347.787,370.132,408.114,448.693,365.161,399.174,108.099,137.97,194.469,152.417,188.226,159.239,336.236,404.26,381.151,461.419,494.945,413.734
"225804_at",1734.51,1666.02,1758.66,1779.5,1825.13,1718.22,1457.93,1343.14,1155.9,1276.64,1155.68,1366.49,1635.31,1754.01,1735.81,1929.17,1721.92,1569.41,1519.63,1416.19,1619.25,1173.89,1108.41,1264.89
"225805_at",608.208,663.416,695.364,727.085,596.928,541.802,460.679,472.144,492.531,483.425,566.313,442.758,603.014,492.134,514.739,513.41,528.371,390.378,362.293,396.558,416.352,528.132,526.619,551.109
"225806_at",2418.77,2282.56,2286.49,2002.01,2038.94,2124.77,1571.53,1519.32,1585.52,1432.55,1498.4,1388.46,2596.48,2514.06,2654.44,2535.34,2196,2355.79,1640.23,1431.85,1418.57,1532.28,1427.62,1481.88
"225807_at",425.799,406.554,464.462,384.774,363.255,434.011,242.873,304.43,265.497,321.516,282.547,288.278,465.989,482.518,430.653,464.355,494.089,382.173,230.111,221.719,253.002,338.378,223.494,335.195
